sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS45187-5563STDY8782450,WA-2001,Alexander Egyir-Yawson,Ghana,Adumanu.House.A,2018,3,6.304,-1.681,F
VBS45188-5563STDY8782451,WA-2002,Alexander Egyir-Yawson,Ghana,Adumanu.House.C,2018,10,6.302,-1.682,F
VBS45189-5563STDY8782452,WA-2003,Alexander Egyir-Yawson,Ghana,Kente.House.A,2018,3,6.299,-1.801,F
VBS45190-5563STDY8782453,WA-2004,Alexander Egyir-Yawson,Ghana,Kente.House.A,2018,3,6.299,-1.801,F
VBS45191-5563STDY8782454,WA-2005,Alexander Egyir-Yawson,Ghana,Kente.House.A,2018,3,6.299,-1.801,F
VBS45192-5563STDY8782455,WA-2006,Alexander Egyir-Yawson,Ghana,Odumto.House.A,2018,3,6.254,-1.841,F
VBS45193-5563STDY8782456,WA-2007,Alexander Egyir-Yawson,Ghana,Odumto.House.B,2018,11,6.255,-1.841,F
VBS45194-5563STDY8782457,WA-2008,Alexander Egyir-Yawson,Ghana,Odumto.House.B,2018,11,6.255,-1.841,F
VBS45195-5563STDY8782458,WA-2009,Alexander Egyir-Yawson,Ghana,Odumto.House.B,2018,11,6.255,-1.841,F
VBS45197-5563STDY8782460,WA-2011,Alexander Egyir-Yawson,Ghana,Odumto.House.B,2018,11,6.255,-1.841,F
VBS45198-5563STDY8782461,WA-2012,Alexander Egyir-Yawson,Ghana,Odumto.House.B,2018,11,6.255,-1.841,F
VBS45199-5563STDY8782462,WA-2013,Alexander Egyir-Yawson,Ghana,Odumto.House.C,2018,10,6.254,-1.841,F
VBS45200-5563STDY8782463,WA-2014,Alexander Egyir-Yawson,Ghana,Odumto.House.D,2018,11,6.254,-1.841,F
VBS45201-5563STDY8782464,WA-2015,Alexander Egyir-Yawson,Ghana,Odumto.House.D,2018,11,6.254,-1.841,F
VBS45202-5563STDY8782465,WA-2016,Alexander Egyir-Yawson,Ghana,Watreso.House.A,2018,3,6.253,-1.917,F
VBS45203-5563STDY8782466,WA-2017,Alexander Egyir-Yawson,Ghana,Watreso.House.A,2018,3,6.253,-1.917,F
VBS45204-5563STDY8782467,WA-2018,Alexander Egyir-Yawson,Ghana,Watreso.House.A,2018,3,6.253,-1.917,F
