sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS45187-5563STDY8782450,0.018,0.002,gamb_colu,gambiae
VBS45188-5563STDY8782451,0.968,0.002,gamb_colu,coluzzii
VBS45189-5563STDY8782452,0.959,0.002,gamb_colu,coluzzii
VBS45190-5563STDY8782453,0.978,0.002,gamb_colu,coluzzii
VBS45191-5563STDY8782454,0.968,0.003,gamb_colu,coluzzii
VBS45192-5563STDY8782455,0.965,0.002,gamb_colu,coluzzii
VBS45193-5563STDY8782456,0.960,0.003,gamb_colu,coluzzii
VBS45194-5563STDY8782457,0.964,0.002,gamb_colu,coluzzii
VBS45195-5563STDY8782458,0.966,0.003,gamb_colu,coluzzii
VBS45197-5563STDY8782460,0.979,0.002,gamb_colu,coluzzii
VBS45198-5563STDY8782461,0.968,0.002,gamb_colu,coluzzii
VBS45199-5563STDY8782462,0.979,0.002,gamb_colu,coluzzii
VBS45200-5563STDY8782463,0.971,0.002,gamb_colu,coluzzii
VBS45201-5563STDY8782464,0.959,0.002,gamb_colu,coluzzii
VBS45202-5563STDY8782465,0.969,0.002,gamb_colu,coluzzii
VBS45203-5563STDY8782466,0.966,0.002,gamb_colu,coluzzii
VBS45204-5563STDY8782467,0.964,0.003,gamb_colu,coluzzii
VBS45205-5563STDY8782468,0.976,0.002,gamb_colu,coluzzii
VBS45206-5563STDY8782469,0.967,0.002,gamb_colu,coluzzii
VBS45207-5563STDY8782470,0.954,0.002,gamb_colu,coluzzii
VBS45208-5563STDY8782471,0.978,0.002,gamb_colu,coluzzii
VBS45210-5563STDY8782473,0.970,0.002,gamb_colu,coluzzii
VBS45211-5563STDY8782474,0.972,0.002,gamb_colu,coluzzii
VBS45212-5563STDY8782475,0.970,0.002,gamb_colu,coluzzii
VBS45213-5563STDY8782476,0.973,0.002,gamb_colu,coluzzii
VBS45214-5563STDY8782477,0.970,0.002,gamb_colu,coluzzii
VBS45215-5563STDY8782478,0.968,0.002,gamb_colu,coluzzii
VBS45216-5563STDY8782479,0.966,0.002,gamb_colu,coluzzii
VBS45217-5563STDY8782480,0.964,0.002,gamb_colu,coluzzii
