Unnamed: 0,sample_id,alignments_bam,alignments_bam_md5,snp_genotypes_vcf,snp_genotypes_vcf_md5,snp_genotypes_zarr,snp_genotypes_zarr_md5,pipeline_version,partner_sample_id
0,VBS45187-5563STDY8782450,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45187-5563STDY8782450.fixmate.bam,bd20cdffc16d9f040840b1f07ee5638d,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45187-5563STDY8782450.vcf.gz,aae0ee7cd5f37432ce3a769471c8eee1,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45187-5563STDY8782450.zarr.zip,9d29f4b5433b8936093cedaeb9e13163,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2001
1,VBS45188-5563STDY8782451,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45188-5563STDY8782451.fixmate.bam,ad649ff3e7e69fa8dd4ab7db9d7b3d89,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45188-5563STDY8782451.vcf.gz,b1674e64a0acd9e19053772136e4783c,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45188-5563STDY8782451.zarr.zip,4f90c1229d1faacea02afe20e2997d1a,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2002
2,VBS45189-5563STDY8782452,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45189-5563STDY8782452.fixmate.bam,ff286c7cbb9642bb2636189f5a4116f4,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45189-5563STDY8782452.vcf.gz,24107a3ccdee42753d3e71674ac35366,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45189-5563STDY8782452.zarr.zip,82547047d5850a4e975573f22f2c293e,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2003
3,VBS45190-5563STDY8782453,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45190-5563STDY8782453.fixmate.bam,2d0552b27607ca5b54cd787b17d339b1,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45190-5563STDY8782453.vcf.gz,2ccf84785dd5e1259c9eb51ff5b594ed,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45190-5563STDY8782453.zarr.zip,cb09a0b572183319cf7ffe3a825c4e76,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2004
4,VBS45191-5563STDY8782454,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45191-5563STDY8782454.fixmate.bam,f88a392081a2a1edd10fd4a1587f561d,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45191-5563STDY8782454.vcf.gz,387ecd3db57177d3d4bee70414194bab,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45191-5563STDY8782454.zarr.zip,e0ad3854c32df06c12ee0e3df9e6f142,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2005
5,VBS45192-5563STDY8782455,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45192-5563STDY8782455.fixmate.bam,62353f12b17d3c564d5d22ec186a6a6c,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45192-5563STDY8782455.vcf.gz,120df1fa346e2a613cec4b7d153ad2a8,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45192-5563STDY8782455.zarr.zip,9c8c0e978f5060ab3857770eb6954679,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2006
6,VBS45193-5563STDY8782456,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45193-5563STDY8782456.fixmate.bam,e7577534cbc49f6c37fd5c2e5649182e,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45193-5563STDY8782456.vcf.gz,7de437b77e797fd0cd5ab79656a5f3cc,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45193-5563STDY8782456.zarr.zip,63fe8fd07e8f222466d9a4d7e2c3a724,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2007
7,VBS45194-5563STDY8782457,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45194-5563STDY8782457.fixmate.bam,e6c9ee7467df7f6c636a1fae8733c5b7,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45194-5563STDY8782457.vcf.gz,6d7d8a9a1ac7afdd558925711ffe6582,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45194-5563STDY8782457.zarr.zip,c81bfda11bc8ee1b3faf22b3f6666a83,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2008
8,VBS45195-5563STDY8782458,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45195-5563STDY8782458.fixmate.bam,a86f80dca848799cb0ab0866368ec361,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45195-5563STDY8782458.vcf.gz,ed0f16b38edfff8be087ad3c678307e9,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45195-5563STDY8782458.zarr.zip,956211e55ba916908c94c059c137c1ea,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2009
9,VBS45197-5563STDY8782460,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45197-5563STDY8782460.fixmate.bam,c35f8b9dca72fc20b6cc3a305de0d7e8,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45197-5563STDY8782460.vcf.gz,bbcf9bafe1e8f7fa2cd1a41350353ae0,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45197-5563STDY8782460.zarr.zip,35b654d6712f54e2d5c6ae1aa4742b7a,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2011
10,VBS45198-5563STDY8782461,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45198-5563STDY8782461.fixmate.bam,3ab0182ac18279965f240d2bd53c0ae7,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45198-5563STDY8782461.vcf.gz,e52d7e8a67073224472a1bbe7459af2f,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45198-5563STDY8782461.zarr.zip,d1991eacebc09c8cbea76b3ea3b63fef,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2012
11,VBS45199-5563STDY8782462,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45199-5563STDY8782462.fixmate.bam,a4e7a5f88a37cc9e7c307609b978454d,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45199-5563STDY8782462.vcf.gz,a5c95ea6c5dec53367322b8e55d17704,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45199-5563STDY8782462.zarr.zip,ef847036621be05b2357bf9427390fff,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2013
12,VBS45200-5563STDY8782463,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45200-5563STDY8782463.fixmate.bam,22804f1191b19fc433f5ac6ca846ed50,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45200-5563STDY8782463.vcf.gz,a2bfb88a6d4b1c8938acd286bfafb056,https://1244-vo-gh-yawson-vmf00149.cog.sanger.ac.uk/VBS45200-5563STDY8782463.zarr.zip,8249daa15d842d012065980183b0d9f9,https://github.com/malariagen/pipelines/releases/tag/v0.0.5,WA-2014
