midpoint	G12
156123.5	0.0703125
370545.5	0.0703125
624580.0	0.0703125
738993.5	0.0703125
826037.0	0.0703125
883459.5	0.0703125
1003481.5	0.0703125
1135797.5	0.0703125
1278117.5	0.0703125
1442711.5	0.0703125
1538189.0	0.0703125
1617066.0	0.0703125
1725706.5	0.0703125
1772624.0	0.0703125
1842631.0	0.0703125
1880617.0	0.0703125
1910669.5	0.0703125
1955465.0	0.0703125
1986344.5	0.0703125
2020595.5	0.0703125
2048408.5	0.0859375
2082064.5	0.0859375
2118447.5	0.0859375
2148736.5	0.0859375
2183876.0	0.0859375
2220940.0	0.0859375
2257776.5	0.0859375
2284228.0	0.0859375
2347625.5	0.0859375
2379178.0	0.0859375
2415012.0	0.109375
2444130.0	0.109375
2473677.0	0.109375
2504298.5	0.0859375
2550907.5	0.0859375
2587884.5	0.109375
2623308.0	0.109375
2648894.5	0.140625
2682248.5	0.109375
2718955.0	0.0859375
2789491.0	0.0859375
2825703.0	0.0703125
2845481.5	0.0703125
2867628.5	0.0703125
2890649.0	0.0703125
2913128.0	0.0703125
2930004.5	0.109375
2950875.0	0.0703125
2989389.5	0.0703125
3021204.5	0.0859375
3051458.0	0.0859375
3082854.0	0.0703125
3110902.0	0.0703125
3146806.0	0.0703125
3169151.5	0.0703125
3208015.5	0.0703125
3232457.0	0.0703125
3261311.0	0.0859375
3286392.5	0.0859375
3331956.0	0.0703125
3370869.0	0.0703125
3401712.5	0.0859375
3433575.0	0.0703125
3461143.5	0.0703125
3497116.0	0.0703125
3536073.5	0.0703125
3572421.0	0.0703125
3603083.0	0.0703125
3636304.0	0.0703125
3663069.5	0.0703125
3694899.0	0.0703125
3724307.5	0.0703125
3755580.5	0.0703125
3780894.0	0.0703125
3815583.5	0.0703125
3846464.5	0.0703125
3884695.5	0.0703125
3905134.5	0.0703125
3932412.0	0.0703125
3973199.0	0.0859375
4046176.0	0.0859375
4097682.5	0.109375
4148380.5	0.109375
4210739.0	0.0859375
4265483.5	0.0859375
4338818.0	0.0859375
4416129.5	0.0703125
4620060.0	0.0703125
4807657.5	0.0703125
4836323.0	0.0859375
4866332.0	0.0859375
4911322.5	0.0859375
4999023.5	0.0859375
5050223.0	0.109375
5100337.0	0.0859375
5132777.5	0.0859375
5177508.0	0.0859375
5213728.0	0.0859375
5259652.0	0.0859375
5284693.0	0.0703125
5325071.0	0.0703125
5352573.0	0.0703125
5380408.0	0.0703125
5413089.5	0.0703125
5443488.0	0.0703125
5481821.0	0.0703125
5513999.0	0.0703125
5539679.0	0.0703125
5583310.5	0.0703125
5604703.5	0.0703125
5627034.0	0.0703125
5663982.0	0.0703125
5693047.5	0.0703125
5725036.5	0.0703125
5759691.0	0.0703125
5789579.5	0.0703125
5816493.0	0.0703125
5838910.5	0.0703125
5871586.0	0.0703125
5907797.0	0.0703125
5945296.0	0.0859375
5970013.5	0.0703125
5991975.5	0.0703125
6011997.0	0.0703125
6037751.5	0.0703125
6078497.0	0.0703125
6103260.5	0.0703125
6154528.0	0.0703125
6178361.5	0.0703125
6209178.0	0.0703125
6233623.0	0.0703125
6259885.0	0.0703125
6281381.0	0.0703125
6298970.0	0.0703125
6327560.5	0.0703125
6374559.5	0.0703125
6393569.5	0.109375
6418667.5	0.109375
6449729.0	0.0859375
6498141.5	0.0859375
6532298.0	0.109375
6561601.5	0.0859375
6589256.5	0.0859375
6610544.0	0.0859375
6628796.0	0.0859375
6650726.0	0.0859375
6670728.0	0.0859375
6686954.5	0.0859375
6707174.5	0.0859375
6725668.5	0.0859375
6746353.0	0.0859375
6764816.5	0.0859375
6789640.0	0.0859375
6813071.0	0.0859375
6835103.5	0.0859375
6858841.5	0.0859375
6883227.0	0.0859375
6915621.0	0.0859375
6937984.0	0.0859375
6967276.0	0.0859375
6990025.0	0.0859375
7041357.5	0.0859375
7079403.0	0.0859375
7139692.5	0.0859375
7161161.5	0.0703125
7298533.5	0.0703125
7350747.0	0.0703125
7422761.0	0.0703125
7492070.5	0.0703125
7555785.0	0.0703125
7599647.5	0.0703125
7624269.0	0.0703125
7637463.5	0.0703125
